RNAS	nombre	sigla	domicilio	localidad	cp	provincia	telefono	otros_telefonos	e_mail	web	habilita_opcion
106609	OBRA SOCIAL ELECTRICISTAS NAVALES	OSEN              	AVDA JUAN DE GARAY 1900                           	CAPITAL FEDERAL - GARAY JUAN DE AVDA.(1801-4400)	1256	CAPITAL FEDERAL               	4371-4896           	                    	info@osensalud.com.ar	www.osensalud.com.ar                              	SI
110305	OBRA SOCIAL DEL PERSONAL LADRILLERO	OSPL              	SAN JOSE 83 PISO 5                                	CAPITAL FEDERAL - SAN JOSE(1-1200)	1076	CAPITAL FEDERAL               	5199-1579           	                    	secretariamedica@o-s-p-l.org	                                                  	SI
121507	OBRA SOCIAL DE LA INDUSTRIA DEL TRANSPORTE  AUTOMOTOR DE CORDOBA	OSITAC            	PARANA 327                                        	CORDOBA	5000	CORDOBA                       	0351-4-238798       	                    	aoita@ositac.org.ar	                                                  	SI
113700	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA NAVAL	OSPIN             	CHACABUCO 528                                     	TIGRE	1648	BUENOS AIRES                  	2103-5658           	                    	osnavales@yahoo.com.ar	ospin-navales.com.ar                              	SI
105606	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CUERO Y AFINES	OSPICA            	CALLE GIRIBONE 789                                	AVELLANEDA	1872	BUENOS AIRES                  	4-229-0750          	                    		www.ospica.org.ar                                 	SI
113908	OBRA SOCIAL DEL PERSONAL DE PANADERIAS	OSPEP             	BOEDO 168                                         	CAPITAL FEDERAL - BOEDO(1-400)	1206	CAPITAL FEDERAL               	4 -957-1800         	0800-999-3861       	info@ospep.org.ar	                                                  	SI
106708	OBRA SOCIAL DE OBREROS EMPACADORES DE FRUTA  DE RIO NEGRO Y NEUQUEN	                  	MENGUELLE 130                                     	CIPOLLETTI	8324	RIO NEGRO                     	0299-478-2686       	                    	info@osoefrnyn.org	                                                  	NO
104801	OBRA SOCIAL DE COLOCADORES DE AZULEJOS, MOSAICOS, GRANITEROS, LUSTRADORES Y PORCELANEROS	OSCAMGLYP         	JOSE EUSEBIO COLOMBRES 1419                       	CAPITAL FEDERAL - COLOMBRES(1001-1800)	1238	CAPITAL FEDERAL               	4 -922-2631         	                    	info@oscamglyp.com	www.oscamglyp.com                                 	SI
118705	OBRA SOCIAL DEL PERSONAL DE INDUSTRIAS QUIMICAS Y PETROQUIMICAS	OSPIQYP           	MEXICO 1474                                       	CAPITAL FEDERAL - MEXICO(1-1600)	1097	CAPITAL FEDERAL               	4 -384-5700         	                    		www.ospiqyp.org.ar                                	NO
115003	OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD PERFUMISTA	OSPAP             	TREINTA Y TRES ORIENTALES 148                     	CAPITAL FEDERAL - TREINTA Y TRES ORIENTALES(1-400)	1182	CAPITAL FEDERAL               	4 -981-1477         	0810-3334683        	ospap@ospap.org.ar	www.ospap.org.ar                                  	SI
112707	OBRA SOCIAL DEL PERSONAL MOSAISTA	OSPM              	QUIRNO 144                                        	CAPITAL FEDERAL - QUIRNO(1-1100)	1406	CAPITAL FEDERAL               	4 -619-0208         	                    	mosaistas@hotmail.com	RESOLUCION 147/12 (VER OBSERVACIONES)             	SI
116006	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL PLASTICO	OSPIP             	PAVON 4175                                        	CAPITAL FEDERAL - PAVON(2901-4400)	1253	CAPITAL FEDERAL               	5-168-3200          	0800-222-6774       		www.ospip.org.ar                                  	SI
116204	OBRA SOCIAL DE PORTUARIOS ARGENTINOS	OSPA              	BOLIVAR 839                                       	CAPITAL FEDERAL - BOLIVAR(1-1200)	1066	CAPITAL FEDERAL               	4 -369-4132         	                    	ospabue@infovia.com.ar	www.ospaport.com.ar                               	SI
117207	OBRA SOCIAL DEL PERSONAL DE PRENSA DE LA REPUBLICA ARGENTINA	OSPPRA            	SOLIS 1158 PISO 3§                                	CAPITAL FEDERAL - SOLIS(101-1200)	1078	CAPITAL FEDERAL               	4-305-6768          	                    	info@osppra.com.ar	www.osppra.com.ar                                 	SI
122005	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL VESTIDO	OSPIV             	AVDA. RIVADAVIA 1378 PB                           	CAPITAL FEDERAL - TUCUMAN(1-1300)	1049	CAPITAL FEDERAL               	4-393-7114          	08009991941         	presidencia@osvestido.com.ar	www.osvestido.com.ar                              	SI
121804	OBRA SOCIAL CONDUCTORES DE TAXIS DE CORDOBA	OSTC              	SAN LUIS 373  - B. GUEMES                         	CORDOBA	5000	CORDOBA                       	0351-4247799        	                    	osctc.cordoba@gmail.com	                                                  	NO
126007	OBRA SOCIAL DE LA FEDERACION GREMIAL DEL PERSONAL DE  LA INDUSTRIA DE LA CARNE Y SUS DERIVADOS	                  	HIPOLITO YRIGOYEN 746                             	CAPITAL FEDERAL - YRIGOYEN HIPOLITO(201-1400)	1086	CAPITAL FEDERAL               	4-378-9000          	0800-222-7938       		www.obrasocialdelacarne.org.ar                    	SI
126304	OBRA SOCIAL SERVICIOS SOCIALES BANCARIOS	OSBA              	25 DE MAYO 182                                    	CAPITAL FEDERAL - 25 DE MAYO(1-800)	1002	CAPITAL FEDERAL               	4 -340-7300         	0800-555-6722       	lumassetti@osssb.com.ar	                                                  	SI
126205	OBRA SOCIAL DE LOS EMPLEADOS DE COMERCIO Y ACTIVIDADES CIVILES	OSECAC            	MORENO 648/50                                     	CAPITAL FEDERAL - MORENO(1-1400)	1091	CAPITAL FEDERAL               	4 -331-1919         	0800-666-0400       		www.osecac.org.ar                                 	SI
127703	OBRA SOCIAL PERSONAL ESTACIONES DE SERVICIO,GARAGES,PLAYAS Y LAVADEROS DE LA PROVINCIA DEL CHACO	OSPESCHA          	JULIO A. ROCA 755                                 	RESISTENCIA	3500	CHACO                         	0362-4-444011       	                    	soesgypechaco@gigared.com	                                                  	SI
108001	OBRA SOCIAL  PARA EL PERSONAL DE LA INDUSTRIA FORESTAL DE SANTIAGO DEL ESTERO	OSPIFSE           	MISIONES 332                                      	SANTIAGO DEL ESTERO	4200	SANTIAGO DEL ESTERO           	0385-4-211877       	                    	pagos@ospffse.org	www.ospifse.com.ar                                	SI
128409	OBRA SOCIAL DEL SINDICATO OBREROS Y EMPLEADOS DE EMPRESAS DE LIMPIEZA,SERVICIOS Y AFINES DE CORDOBA	OSSOELSAC         	ENTRE RIOS 372                                    	CORDOBA	5000	CORDOBA                       	(0351) 4215431      	                    		                                                  	SI
128102	OBRA SOCIAL DE LA UNION DE TRABAJADORES DEL INSTITUTO NACIONAL DE SERVICIOS SOCIALES PARA JUBILADOS Y PENSIONADOS DE LA REPUBLICA ARGENTINA	OSUTI             	ESMERALDA 25                                      	CAPITAL FEDERAL - ESMERALDA(1-400)	1035	CAPITAL FEDERAL               	4121-2150           	0800-666-7884       		                                                  	SI
129006	OBRA SOCIAL DE LA ASOCIACION DEL PERSONAL SUPERIOR DE LA EMPRESA PROVINCIAL DE ENERGIA DE CORDOBA	O.S.A.P.S.E       	RIVADEO Nº 1231                                   	BARRIO VILLA SAN CARLOS	5000	CORDOBA                       	351-4715859/4722278 	                    		                                                  	SI
100205	OBRA SOCIAL DE ACTORES	OSA               	AYACUCHO 537                                      	CAPITAL FEDERAL - AYACUCHO(1-400)	1025	CAPITAL FEDERAL               	4 371-4664/8449     	0-800-999-0301      		www.osa.org.ar                                    	SI
127802	OBRA SOCIAL DE LUZ Y FUERZA DE LA PATAGONIA	OSLYF PATAGONIA   	BALDOMERO CARRASCO Nº 60                          	TRELEW	9100	CHUBUT                        	0280-4420547        	0800-666-4363       	info@generarsalud.com.ar	www.generarsalud.com.ar                           	SI
128003	OBRA SOCIAL DEL PERSONAL DE LA FEDERACION DE SINDICATOS DE LA INDUSTRIA QUIMICA Y PETROQUIMICA	                  	PAVON 3708                                        	CAPITAL FEDERAL - PAVON(2901-4400)	1253	CAPITAL FEDERAL               	4921-3725           	                    	festiqypra tesoreria@live.com.ar	www.festiqypra.org.ar                             	SI
105309	OBRA SOCIAL DEL PERSONAL ADMINISTRATIVO Y TECNICO DE LA CONSTRUCCION Y AFINES	OSPATCA           	PTE. LUIS SAENZ PEÑA 1142/44                      	CAPITAL FEDERAL - SAENZ PEÑA LUIS PTE.(1-1200)	1110	CAPITAL FEDERAL               	6091-7900           	0800-333-3480       	info@ospatca.org.ar	www.ospatca.org.ar                                	SI
125301	OBRA SOCIAL FEDERAL DE LA FEDERACION NACIONAL DE TRABAJADORES DE OBRAS SANITARIAS	OSFFENTOS         	PASCO 580 - PB                                    	CAPITAL FEDERAL - PASCO(501-1200)	1219	CAPITAL FEDERAL               	5901-1005/7         	0800-555-1133       	info@osffentos.com.ar	www.fentos.org.ar                                 	SI
115508	OBRA SOCIAL DE PETROLEROS DE CORDOBA	O.S.PE.COR        	AYACUCHO 575 -BARRIO. GRAL. GUEMES                	CORDOBA	5000	CORDOBA                       	0351-4-204444       	4244014	prestaciones@ospecor.com.ar	www.ospecor.com.ar                                	SI
110008	OBRA SOCIAL DEL PERSONAL DE JABONEROS	OSPEJ             	CHACABUCO 271 8VO UF 17                           	CAPITAL FEDERAL - CHACABUCO(1-1200)	1069	CAPITAL FEDERAL               	4383-2983/2985      	                    	notificaciones@osjaboneros.com.ar	                                                  	SI
128201	OBRA SOCIAL DEL SINDICATO UNICO DE RECOLECTORES DE RESIDUOS Y BARRIDO DE CORDOBA	O.S.S.U.R.R.B.A.C 	LIMA 342                                          	CORDOBA	5000	CORDOBA                       	(0351)152072236     	                    	surrbacinstitucional@gmail.com	                                                  	SI
127901	OBRA SOCIAL DE PETROLEROS PRIVADOS	OS.PE.PRI         	SANTA CRUZ 275                                    	NEUQUEN	8300	NEUQUEN                       	0800-333-8448       	                    	afiliaciones@ospepri.org.ar	www.ospepri.org.ar                                	SI
111209	OBRA SOCIAL DEL PERSONAL DE MAESTRANZA	OSPM              	ALZAGA 2271                                       	CAPITAL FEDERAL - ALZAGA(2001-2300)	1240	CAPITAL FEDERAL               	4 -924-6045/47      	0800-333-8154       	s-o-m@satlink.com	www.somlimpieza.com.ar                            	SI
100908	OBRA SOCIAL  EMPLEADOS DE AGENCIAS DE INFORMES	OSEADI            	LAVALLE 1783 PISO 1 - OF. A                       	CAPITAL FEDERAL - LAVALLE(1001-1800)	1048	CAPITAL FEDERAL               	4 -372-9598         	                    	oseadi@VELOCOM.com.ar	WWW.OSEADI.COM.AR                                 	SI
102706	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA AZUCARERA	OSPIA             	CONGRESO 342/8                                    	SAN MIGUEL DE TUCUMAN	4000	TUCUMAN                       	0381-422-1478       	                    	ospia@tucbbs.com.ar	                                                  	SI
103808	OBRA SOCIAL DEL PERSONAL DEL CAUCHO	OSPECA            	VALLE 1281                                        	CAPITAL FEDERAL - VALLE(1101-1500)	1406	CAPITAL FEDERAL               	4-433-3317          	                    	ospeca@fibertel.com.ar	www.ospeca.org.ar                                 	SI
104108	OBRA SOCIAL DE CERAMISTAS	OSCE              	DOBLAS 629                                        	CAPITAL FEDERAL - DOBLAS(1-2100)	1424	CAPITAL FEDERAL               	4 -922-6752         	                    		                                                  	SI
104207	OBRA SOCIAL DEL PERSONAL DE LA CERAMICA, SANITARIOS, PORCELANA DE MESA Y AFINES	OSPCSPMYA         	AV. HIIPOLITO IRIGOYEN 1255                       	AVELLANEDA	1870	BUENOS AIRES                  	4 -208-2079         	                    	ospecesa@speedy.com.ar	www.ospecesa.com.ar                               	SI
128300	OBRA SOCIAL PEONES DE TAXIS DE ROSARIO	O.S.PE.TAX.R      	SALTA 2882                                        	ROSARIO	2000	SANTA FE                      	( 0341)-435-0445    	                    		w.w.w.sptrosario.com.ar                           	NO
104306	OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD CERVECERA Y AFINES	OSPACA            	HUMAHUACA 4072                                    	CAPITAL FEDERAL - HUMAHUACA(3901-4700)	1192	CAPITAL FEDERAL               	4 863-2159          	0800-3336772        	consultas@oscervecera.org.ar	www.oscervecera.org.ar                            	SI
104504	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA CINEMATOGRAFICA	OSPIC             	JUNCAL 2029                                       	CAPITAL FEDERAL - JUNCAL(1801-2100)	1116	CAPITAL FEDERAL               	4-808-0106          	                    	ospic@sicacine.org.ar	www.sicacine.com.ar                               	SI
106104	OBRA SOCIAL DE EMPLEADOS DE DESPACHANTES DE ADUANA	OSEDA             	CALLAO 220 PISO 6                                 	CAPITAL FEDERAL - CALLAO AVDA.(1-700)	1022	CAPITAL FEDERAL               	4 -372-6667/8       	                    		                                                  	SI
106302	OBRA SOCIAL DE DOCENTES PARTICULARES	OSDOP             	BARTOLOME MITRE 2233                              	CAPITAL FEDERAL - MITRE BARTOLOME(1801-2800)	1039	CAPITAL FEDERAL               	5288-4900 ROTATIVAS 	0800-6666-450       		                                                  	SI
107800	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL FIBROCEMENTO	OSPIF             	CONSTITUCION 3674                                 	SAN JUSTO	1754	BUENOS AIRES                  	4 651-7411          	                    	osdelfibro@hotmail.com	                                                  	SI
108506	 OBRA SOCIAL DEL PERSONAL DE MANIPULEO, EMPAQUE Y EXPEDICION DE FRUTA FRESCA Y HORTALIZAS DE CUYO	OSFYHC            	MONTECASEROS 1147                                 	MENDOZA	5500	MENDOZA                       	0261-4-299591       	                    	osfyhc@yahoo.com.ar	EN CRISIS CONFORME DECRETO 1400/01 - (VER OBSERVAC	SI
109301	OBRA SOCIAL DEL PERSONAL DE CONSIGNATARIOS DEL MERCADO NACIONAL DE HACIENDA DE LINIERS	OSPEMER           	LISANDRO DE LA TORRE 2337/9                       	CAPITAL FEDERAL - DE LA TORRE LISANDRO(1201-3000)	1440	CAPITAL FEDERAL               	4 -687-8683         	                    		en CRISIS desde el  14/08/14 - Resol. 1291/14-SSS 	SI
109202	OBRA SOCIAL DE GUINCHEROS Y MAQUINISTAS DE GRUAS MOVILES	                  	CORONEL SALVADORES 1638                           	CAPITAL FEDERAL - SALVADORES CORONEL(1301-1700)	1296	CAPITAL FEDERAL               	4 -301-0048         	                    	tesoreria@guincheros.org.ar	www.osocialguincheros.com                         	SI
124001	OBRA SOCIAL DE BOXEADORES AGREMIADOS DE LA REPUBLICA ARGENTINA	OSBARA            	TALCAHUANO 109 PISO 6  D                          	CAPITAL FEDERAL - TALCAHUANO(1-1200)	1013	CAPITAL FEDERAL               	4-371-5044          	                    		                                                  	SI
110107	OBRA SOCIAL DE JARDINEROS, PARQUISTAS, VIVERISTAS Y FLORICULTORES DE LA REPUBLICA ARGENTINA	OSJPVYF           	LUIS SAENZ PEÑA 480                               	CAPITAL FEDERAL - SAENZ PEÑA LUIS PTE.(1-1200)	1110	CAPITAL FEDERAL               	4383-6825           	0800-666-7386       	osjard@grupoa.com.ar	                                                  	SI
110206	OBRA SOCIAL DEL PERSONAL DEL JOCKEY CLUB DE ROSARIO	                  	OVIDIO LAGOS 1571                                 	ROSARIO	2000	SANTA FE                      	0341-4-219301       	                    		                                                  	SI
110800	OBRA SOCIAL DE LOS TRABAJADORES DE LAS EMPRESAS DE ELECTRICIDAD	OSTEE             	HUMBERTO 1º   434                                 	CAPITAL FEDERAL - HUMBERTO Iº(1-1800)	1103	CAPITAL FEDERAL               	5168-2600           	0800-999-1534       	obrasocial@osteeluzmedica.com.ar	www.osteeluzmedica.com.ar                         	SI
111407	OBRA SOCIAL DE CAPITANES DE ULTRAMAR Y OFICIALES DE LA MARINA MERCANTE	OSCOMM            	AVENIDA INDEPEDENCIA 611                          	CAPITAL FEDERAL - INDEPENDENCIA AVDA.(1-1300)	1099	CAPITAL FEDERAL               	4 -300-9700/03      	0800-6667266        	secretaria@capitanes.org.ar	                                                  	SI
112608	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA MOLINERA	OSPIM             	AV. SAN JUAN 2670/72                              	CAPITAL FEDERAL - SAN JUAN AVDA.(1801-3000)	1232	CAPITAL FEDERAL               	5238-3900           	                    	info@ospim.org.ar	www.ospim.org.ar                                  	SI
113205	OBRA SOCIAL DE JEFES Y OFICIALES NAVALES DE RADIOCOMUNICACIONES	OSJONR            	24 DE NOVIEMBRE 643/5                             	CAPITAL FEDERAL - 24 DE NOVIEMBRE(501-1200)	1224	CAPITAL FEDERAL               	4 -931-5178         	                    		                                                  	SI
109707	OBRA SOCIAL DEL PERSONAL DE IMPRENTAS, DIARIOS Y AFINES	OSPIDA            	SAN JOSE 157                                      	CAPITAL FEDERAL - SAN JOSE(1-1200)	1076	CAPITAL FEDERAL               	4 -382-2051         	                    	ospida@ospida.org.ar	www.ospida.org.ar                                 	SI
114208	OBRA SOCIAL DE LA INDUSTRIA DE PASTAS ALIMENTICIAS	OSIPA             	AVDA.. BELGRANO 4280                              	CAPITAL FEDERAL - BELGRANO AVDA.(3201-4300)	1210	CAPITAL FEDERAL               	4 -981-4776         	                    	stipa@arnet.com.ar	                                                  	SI
115300	OBRA SOCIAL DE PETROLEROS	OSPE              	AVDA. L. ALEM 692 1º PISO                         	CAPITAL FEDERAL - ALEM LEANDRO N. AVDA.(501-1200)	1001	CAPITAL FEDERAL               	5254-5100           	0800-444-6773       	informes@ospesalud.com.ar	www.ospesalud.com.ar                              	SI
118606	OBRA SOCIAL DEL PERSONAL DE LA PUBLICIDAD	OSPP              	AVDA CORDOBA 1576                                 	CAPITAL FEDERAL - CORDOBA AVDA.(1001-1800)	1055	CAPITAL FEDERAL               	4 -811-7416         	                    	ospp@ciudad.com.ar	                                                  	SI
119005	OBRA SOCIAL DEL PERSONAL DE REFINERIAS DE MAIZ	                  	ANCHORENA 1429                                    	BARADERO	2942	BUENOS AIRES                  	03329-4-83874       	                    	Osprem@arnetbiz.com.ar	                                                  	SI
119500	OBRA SOCIAL DEL PERSONAL DE LA SANIDAD ARGENTINA	OSPSA             	DEAN FUNES 1242                                   	CAPITAL FEDERAL - DEAN FUNES(1201-2200)	1244	CAPITAL FEDERAL               	                    	                    	info@sanidad.org.ar	www.sanidad.org.ar                                	SI
122302	OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD VIAL	OSPA-VIAL         	AVDA. DE MAYO 1439                                	CAPITAL FEDERAL - DE MAYO AVDA.(1001-1500)	1085	CAPITAL FEDERAL               	4 382-3863          	                    	ospacentral@yahoo.com.ar	                                                  	SI
122401	OBRA SOCIAL DE  EMPLEADOS DE LA INDUSTRIA DEL VIDRIO	OSEIV             	CARABOBO 217                                      	CAPITAL FEDERAL - CARABOBO AVDA.(1-1700)	1406	CAPITAL FEDERAL               	4 -631-1042         	                    	oseiv.vidrio@hotmail.com	                                                  	SI
122609	OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD VITIVINICOLA	OSPAV             	WARNES 1894                                       	CAPITAL FEDERAL - WARNES AVDA.(1301-2100)	1416	CAPITAL FEDERAL               	4 -583-7894         	0800-444-6772       	info@ospav.com.ar	www.ospav.com.ar                                  	SI
122807	OBRA SOCIAL DEL PERSONAL DE VIGILANCIA Y SEGURIDAD COMERCIAL, INDUSTRIAL E INVESTIGACIONES PRIVADAS DE CORDOBA	OSPEVIC           	FAUSTINO ALLENDE 189 - BARRIO INDEPENDENCIA       	CORDOBA	5000	CORDOBA                       	                    	0810-888-6773       	ospevic@ospevic.org.ar	www.ospevic.org.ar                                	SI
122906	OBRA SOCIAL DEL PERSONAL DE ESTACIONES DE SERVICIO, GARAGES, PLAYAS Y LAVADEROS AUTOMATICOS DE LA PROVINCIA DE SANTA FE	OSPESGA           	RIOBAMBA 1069                                     	ROSARIO	2000	SANTA FE                      	0341-4-826705       	                    	recpcion@ospesga.com.ar	www.ospesga.com.ar                                	SI
123107	OBRA SOCIAL TALLERISTAS A DOMICILIO	OSTAD             	ACEVEDO 553                                       	CAPITAL FEDERAL - ACEVEDO(1-1200)	1414	CAPITAL FEDERAL               	4 -854-4708         	                    	ostad@fibertel.com.ar	                                                  	SI
125103	OBRA SOCIAL DE LOS PROFESIONALES UNIVERSITARIOS DEL AGUA Y LA ENERGIA ELECTRICA	OSPUAYE           	RECONQUISTA 1048 PISO  2                          	CAPITAL FEDERAL - RECONQUISTA(1-1200)	1003	CAPITAL FEDERAL               	4 -312-0409/06      	                    	ospuaye@apuaye.org.ar	                                                  	SI
126502	OBRA SOCIAL DE LA CONFEDERACION DE OBREROS Y EMPLEADOS MUNICIPALES  ARGENTINA ( OSCOEMA )	OSCOEMA           	MORENO 970 PISO 2 OF. 15                          	CAPITAL FEDERAL - MORENO(1-1400)	1091	CAPITAL FEDERAL               	4-342-6908          	0810-333-3057       	oscoema@gmail.com	www.oscoema.com.ar                                	SI
126908	OBRA SOCIAL DE LOS MEDICOS DE LA CIUDAD DE BUENOS AIRES	OSMEDICA          	MARCELO T. DE ALVEAR 867/871                      	CAPITAL FEDERAL - ALVEAR MARCELO T. DE(301-1400)	1058	CAPITAL FEDERAL               	3753-0000           	0800-999-5396       	obrasocial@osmedica.com.ar	www.osmedica.com.ar                               	SI
127000	OBRA SOCIAL DE TRABAJADORES DE ESTACIONES DE SERVICIO	OSTES             	BANDERA DE LOS ANDES 239                          	VILLA NUEVA DE GUAYMALLEN	5521	MENDOZA                       	0261-431-7309       	                    		                                                  	SI
107008	OBRA SOCIAL DEL PERSONAL DE ESCRIBANOS	OSPE              	RODRIGUEZ PEÑA 536/38                             	CAPITAL FEDERAL - RODRIGUEZ PEÑA(1-1200)	1020	CAPITAL FEDERAL               	4-371-8957          	                    	obrasocial@ospe.org.ar	www.ospe.org.ar                                   	SI
118903	OBRA SOCIAL DEL PERSONAL DE RECOLECCION Y BARRIDO DE ROSARIO	                  	BUENOS AIRES 1635                                 	ROSARIO	2000	SANTA FE                      	0341-4-248702       	                    	osprbyl@arnet.com.ar	                                                  	SI
119302	OBRA SOCIAL DEL PERSONAL RURAL Y ESTIBADORES DE LA REPUBLICA ARGENTINA	OSPRERA           	RECONQUISTA 630                                   	CAPITAL FEDERAL - RECONQUISTA(1-1200)	1003	CAPITAL FEDERAL               	4-312-2500          	0800-77-78725       		www.osprera.com.ar                                	SI
126601	OBRA SOCIAL DEL PERSONAL DE INDUSTRIAS  QUIMICAS Y PETROQUIMICAS DE ZARATE CAMPANA	OPZC              	DR FELIX PAGOLA 1712                              	ZARATE	2800	BUENOS AIRES                  	03487-433565        	                    	info@obrasocialquimicos.com.ar	www.obrasocialquimicos.com.ar                     	SI
105804	OBRA SOCIAL DE CHOFERES DE CAMIONES	OSCHOCA           	SAN JOSE 1775/81                                  	CAPITAL FEDERAL - SAN JOSE(1201-2100)	1136	CAPITAL FEDERAL               	4378-1000           	0800-777-0020       	info@camioneros-ba.org.ar	www.camioneros-ba.org.ar                          	SI
111902	OBRA SOCIAL DEL SINDICATO DE MECANICOS Y AFINES DEL TRANSPORTE AUTOMOTOR	OSMATA            	AVDA. BELGRANO 665 PISO 8                         	CAPITAL FEDERAL - BELGRANO AVDA.(1-1200)	1092	CAPITAL FEDERAL               	4 -334-6825         	4-340-7412          		www.smata.com.ar                                  	SI
121101	OBRA SOCIAL DE EMPLEADOS TEXTILES Y AFINES	OSETYA            	BENITO QUINQUELA MARTIN 1738                      	CAPITAL FEDERAL - QUINQUELA MARTIN BENITO(701-2300	1433	CAPITAL FEDERAL               	4 -301-4175/79      	0810-999-6738       	informes@osetya.com.ar	www.osetya.com.ar                                 	SI
108209	OBRA SOCIAL DE FOTOGRAFOS	OSFOT             	PRINGLES 1090/92                                  	CAPITAL FEDERAL - PRINGLES(1-1500)	1183	CAPITAL FEDERAL               	4 -867-3990         	                    	osfotadm@gmail.com/seoffra@gmail.com	                                                  	SI
107909	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA FIDEERA	OSPIF             	RIO DE JANEIRO 55                                 	CAPITAL FEDERAL - RIO DE JANEIRO(1-1100)	1405	CAPITAL FEDERAL               	4 -901-0575         	                    	ospif-central@speedy.com.ar	                                                  	SI
124506	OBRA SOCIAL DE TRABAJADORES DE LA INDUSTRIA DEL GAS	OSTIG             	BOEDO 90                                          	CAPITAL FEDERAL - BOEDO(1-400)	1206	CAPITAL FEDERAL               	4-982-7069          	                    	ostig@impsat 1.com.ar.	                                                  	SI
128607	OBRA SOCIAL DE TRABAJADORES DEL PETROLEO Y GAS PRIVADO DEL CHUBUT	                  	AVDA ALSINA 728 PISO 3                            	COMODORO RIVADAVIA	9000	CHUBUT                        	0297-4470897        	                    		                                                  	SI
